PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,Bậc_Khớp_Gối,Data_Split
-3.8531764,4.167691,-0.15066478,2.5668945,1.4849225,-0.55845886,-6.9721932,2.5836256,4.025889,-6.545322,-3.7278504,-0.21149196,3.342826,3.0727859,0.57913285,4.642923,0,train
-0.49099165,4.274416,-1.5820779,0.96202874,4.56308,4.334329,-5.361334,-1.132877,2.30781,-0.9191193,-0.42296568,2.603575,-1.3776879,-0.0666493,-1.5840486,5.549864,0,train
17.108217,0.4622041,0.690244,-3.4328594,0.4604846,1.981792,-1.2203122,0.7381524,0.63548744,-3.5865676,2.1570218,-0.3516596,3.4539514,1.7815744,1.5976267,-1.84567,3,train
16.64507,0.60379994,-1.407587,-3.490003,3.6101446,0.7066075,-3.2261574,-0.698287,4.05531,-3.2115135,3.7401793,2.8169706,4.7319875,0.1263778,1.4841982,-0.24702442,1,train
-1.0201073,-6.544226,4.3999767,6.010589,-0.9031801,-1.2663648,4.108708,0.61251986,0.048105493,0.61777675,1.7324716,-3.488506,-0.990122,-0.8971013,-0.013363917,2.9786866,0,train
-3.7242484,-8.233853,2.0547166,1.6345199,-5.3495727,-0.76918805,1.4194691,1.940723,4.040614,-2.854342,-2.847113,-1.6684464,0.00052669016,-0.7294742,-1.1085229,1.8951538,2,train
1.0778469,-7.562285,-2.9459374,-0.63698524,-3.760554,2.3486974,1.4690261,0.3228289,0.3452774,2.7776606,-2.0870638,-3.9925222,-1.3427241,0.7244463,1.0505769,2.263262,0,train
-1.2717804,9.018367,7.81713,-1.5181589,-1.4591796,8.82681,3.6511915,1.1597803,-4.2558455,5.131424,0.23339768,-0.041713625,2.9136636,-1.357185,0.11126313,2.0667374,4,train
-2.6482863,6.5093613,-0.72898257,-8.078908,5.3871655,-3.5463529,-0.12077729,-4.03665,0.8373624,9.411218,-1.5177944,3.301077,1.3763536,-1.4694302,0.3583304,0.9116431,4,train
-3.6443682,-0.13074411,-3.6716075,2.5998662,2.4685698,-2.2947712,6.135689,-1.6933506,-2.9174154,-1.9634776,2.3474224,-2.1055498,-0.33716527,0.727631,1.0772566,-0.24358328,1,train
-4.150774,2.3702352,4.49941,4.8066,-4.985212,-0.3737983,1.7550324,-5.166264,0.9587009,4.695834,0.03625181,-3.206269,-2.1546915,2.6216505,-0.129273,0.9841688,2,train
-2.9564579,1.189003,-1.0462983,-4.417493,0.22337839,-0.9987401,1.5660595,-3.0893216,4.9557524,-5.4092755,1.1805695,-1.3381084,0.83817995,-1.7659407,-1.9541545,1.0365546,4,train
-6.878262,2.9199576,-1.6099172,-2.2055843,-3.859513,-8.032966,-1.8055333,-2.172207,-3.8340936,-1.6083287,2.0705261,3.2687738,-2.8356338,3.0845504,2.2077858,-2.0881388,3,train
-3.4270859,1.8709509,5.4169717,-9.5393305,5.2409487,3.688077,-0.2773124,-2.7465062,-2.1675024,2.6783497,-3.5956166,-2.6853817,0.94126856,-4.911838,-2.3841565,2.079142,4,train
-0.99145806,7.8257546,-6.9713297,6.0535035,0.27019924,-0.08796955,9.668336,-2.9609423,5.997555,0.8766772,0.8449899,-1.9277114,-1.539078,4.0720053,-4.1258473,0.23079233,2,train
-3.927986,-1.8215883,-2.7562234,-2.8901548,-0.6652042,3.6452467,-3.2116506,-2.5506234,-0.20941396,1.1913116,-2.085221,-0.16187967,-1.556282,2.3969975,-1.3226194,-0.942916,1,train
-1.6594982,-2.753683,-3.0843966,-0.58804595,-4.8957314,-1.1553215,-2.4112577,-0.5304053,3.2640421,-2.9851599,-1.0043148,-0.8129329,0.9716672,-0.87729466,-0.72366077,0.2728694,0,train
-3.0722356,7.9517927,3.539628,2.0543528,1.7454787,1.951124,-4.3447633,2.935083,3.656611,1.8529121,2.5674596,0.7298419,0.37926492,-3.6810272,-1.1567471,1.0625222,1,train
-1.2975658,-1.400777,3.9208326,-6.558673,-0.5127884,1.6454424,1.7348942,-1.5193284,-1.7924592,-0.14203843,-2.4232323,1.8655828,1.9687084,3.5865326,4.8334384,0.67296386,3,train
0.2024525,3.2678,0.41362572,-4.049169,-9.64618,-2.1455426,8.204766,-2.5428646,-0.88952214,5.1782665,1.0451233,2.5792744,-1.6564195,3.5691628,1.3239526,-0.9231252,3,train
0.34377953,1.2845415,1.7944622,4.2380047,7.8850493,0.7823799,2.8297136,0.8561945,-4.8910084,1.3584838,2.8228354,0.14032686,0.060795262,0.050312765,2.0219388,-1.8792329,1,train
-2.9211006,-8.955073,3.55428,2.6164837,-1.2851678,1.5579803,1.4723812,-2.6298919,1.1797589,-0.94257647,0.93711066,0.67080057,1.8709103,2.32822,-1.0818331,0.33187643,2,train
-5.450646,6.733978,-0.8469746,3.1566544,0.20228888,1.7083783,-3.0001562,9.764407,-1.6489466,-1.1126044,-1.2183137,-5.1173553,2.7947414,-1.6650649,0.8829746,-0.5305487,1,train
-5.70577,-1.1413729,4.221171,-6.5595,-6.8570127,0.69412464,-1.5904567,3.6539888,-0.27317312,1.2669674,0.21939264,-3.034744,2.8506432,-1.7192081,-2.1320176,-0.6393872,1,train
-1.575191,-2.7313828,-2.7657437,-0.062449485,-3.918335,-0.45732173,2.2839406,-1.0364144,2.0608041,-2.4074361,-0.92841744,-2.5978174,0.9906393,-2.2221582,-1.3591841,0.6695461,0,train
0.6150045,2.9967034,4.991496,-0.7948,5.5666866,3.5212371,4.5563297,4.291139,0.086503685,-3.8563268,-0.17680219,-1.4859887,-1.3313227,0.333171,3.247265,-3.3432486,3,train
-2.5732865,10.92695,-7.3484693,5.0395083,-1.2382905,1.3942472,6.0929317,3.270198,-0.992811,-0.863375,-1.3115963,-2.582597,2.640036,-1.74019,1.1370523,-0.2795061,2,train
16.986864,1.3360748,0.9449289,0.67323345,-1.9676656,-1.934822,2.070042,1.0507188,-3.3719118,-4.301646,-3.1165214,-0.29288316,-0.967802,-0.50185883,-1.9668909,-1.0186657,3,train
-0.9535562,-4.728049,5.2586637,-6.2873383,-3.623309,-1.9351845,0.9376485,0.3482585,-1.6636164,1.8724731,1.1134111,4.701411,2.4451756,1.6350294,2.233884,2.6929739,3,train
-4.8153777,2.7017825,3.935345,-3.0016384,1.6549296,-1.5013065,-4.403811,-2.3683856,-2.2591672,-2.4116278,1.7749379,3.5777915,-1.6019495,1.8775426,-0.13107353,-0.24761173,4,train
-1.386113,-1.2557224,-3.2763786,-4.731073,-3.1106443,1.2732248,-0.19397628,-1.4797331,0.7786976,2.2106702,-0.07654389,0.09490481,2.8146138,0.22028433,3.2822335,-1.4040407,3,train
-0.9972461,-3.483947,-0.7110458,-5.0142846,-0.29634273,2.564163,-0.8611643,1.5531158,2.2931607,-1.0224115,-1.1063802,-2.013608,-1.3695273,3.525359,-4.416373,3.5385835,1,train
-0.3732828,4.178807,5.353397,3.3305898,0.68200004,3.8082883,3.2176244,5.796106,-1.1075513,-0.82925636,1.4930596,4.476421,-0.7518457,0.43349493,1.3159269,-1.2275462,3,train
-3.3872876,18.835405,4.4709253,5.034925,-5.7661386,-0.51898926,-0.25582674,-1.4942806,-0.48719847,4.213804,4.9647813,-1.2645141,-0.95521706,0.7947654,0.3191988,1.11361,4,train
-0.48299772,-8.417506,-3.9166698,-0.26054388,-0.9925729,-2.6209767,3.6688673,0.56804544,0.9407353,0.636054,1.1630919,2.3439116,-1.31917,-3.1950846,-0.72819525,1.2335677,0,train
-4.4483986,1.296732,2.6675584,6.137308,1.8092979,-2.2768543,-6.075186,0.7300835,-0.4758524,-4.2165895,1.683395,0.9606877,-0.37352717,-1.5227897,-0.7568201,-2.6598492,1,train
