PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,Bậc_Khớp_Gối,Data_Split
-3.8531892,4.1676736,-0.15069264,2.5669122,1.4848657,-0.5585007,-6.9733453,2.5830314,0,train
-0.4910061,4.274425,-1.5821016,0.96202445,4.563075,4.3343277,-5.3612294,-1.1309539,0,train
17.108229,0.46224165,0.690254,-3.4328644,0.46048096,1.9816463,-1.2200692,0.7374075,3,train
16.645077,0.60383254,-1.4075929,-3.4899936,3.6100228,0.70688444,-3.225969,-0.70120347,1,train
-1.020086,-6.544218,4.399948,6.0106225,-0.90333176,-1.2659264,4.109409,0.6126674,0,train
-3.7242246,-8.23386,2.054725,1.63449,-5.349559,-0.76933,1.419965,1.9418044,2,train
1.0778719,-7.562285,-2.945932,-0.636969,-3.7605927,2.3495579,1.469462,0.32154292,0,train
-1.2718097,9.018369,7.8171287,-1.5181489,-1.4593389,8.826889,3.6499124,1.1534526,4,train
-2.6483073,6.50935,-0.728964,-8.078937,5.3871436,-3.5468187,-0.121055946,-4.0407963,4,train
-3.6443691,-0.13075031,-3.6716256,2.599861,2.4684992,-2.2949092,6.1356378,-1.6940267,1,train
-4.150784,2.3702304,4.499397,4.806659,-4.9851317,-0.373084,1.7557328,-5.1609397,2,train
-2.9564614,1.1889939,-1.0462859,-4.417508,0.22341964,-0.9993893,1.5652378,-3.0877953,4,train
-6.8782787,2.9199405,-1.609909,-2.2055786,-3.859596,-8.03273,-1.8054845,-2.1750789,3,train
-3.4270957,1.8709431,5.416983,-9.539235,5.240853,3.688145,-0.27915764,-2.7521617,4,train
-0.9914807,7.82575,-6.9713454,6.0534234,0.27014825,-0.08931292,9.668838,-2.9621673,2,train
-3.927983,-1.8215973,-2.7562196,-2.8901453,-0.6650737,3.6449444,-3.210805,-2.5419083,1,train
-1.6594906,-2.7536874,-3.084396,-0.58805335,-4.8956966,-1.1550452,-2.410216,-0.52495384,0,train
-3.0722632,7.9517875,3.5396233,2.0543299,1.7457278,1.9499586,-4.3444433,2.9458394,1,train
-1.2975634,-1.4007789,3.9208376,-6.5586805,-0.5128091,1.6440828,1.7351183,-1.5149692,3,train
0.20244378,3.267797,0.41365093,-4.049114,-9.646311,-2.1436527,8.204054,-2.5508096,3,train
0.34377548,1.2845433,1.7944386,4.238032,7.8850718,0.78278,2.8302858,0.85831076,1,train
-2.921075,-8.955079,3.5542686,2.6165264,-1.2852136,1.558586,1.4728582,-2.6298392,2,train
-5.450671,6.7339673,-0.84699094,3.1566415,0.20222995,1.7080276,-3.000661,9.763916,1,train
-5.70577,-1.1413853,4.2212114,-6.5595446,-6.8568482,0.6934728,-1.5907139,3.657701,1,train
-1.5751832,-2.7313883,-2.7657423,-0.0624822,-3.9183009,-0.45765778,2.2844932,-1.0326055,0,train
0.6149942,2.9967058,4.9915004,-0.794833,5.566855,3.5199602,4.556969,4.295767,3,train
-2.5733218,10.926943,-7.348488,5.0394197,-1.2383189,1.3927003,6.0926337,3.2711852,2,train
16.986866,1.3361121,0.9449297,0.67323786,-1.9676989,-1.9343187,2.0703068,1.0501676,3,train
-0.9535432,-4.7280498,5.258677,-6.2873106,-3.6233966,-1.9350443,0.93797433,0.3483512,3,train
-4.8153896,2.7017746,3.935356,-3.0016427,1.654859,-1.5011926,-4.404496,-2.3737314,4,train
-1.3861096,-1.2557273,-3.2763693,-4.7310843,-3.1106336,1.2724262,-0.19384193,-1.4784051,3,train
-0.9972358,-3.4839492,-0.7110326,-5.014303,-0.29622713,2.563609,-0.86033314,1.5607532,1,train
-0.3732962,4.1788106,5.3533864,3.3305745,0.6819352,3.8084686,3.217142,5.793028,3,train
-3.3873487,18.835388,4.4709263,5.0349984,-5.766064,-0.517214,-0.2566959,-1.49619,4,train
-0.48297152,-8.417515,-3.916656,-0.26054123,-0.99262255,-2.6198246,3.668282,0.562724,0,train
-4.4484067,1.2967246,2.6675456,6.137294,1.809407,-2.2769337,-6.0748777,0.73409545,1,train
-4.764512,9.800881,4.6016498,-5.8621845,2.6469378,-1.6786567,-4.496549,-3.4262815,4,train
1.866565,-5.015039,-9.171102,-1.6957304,0.071741164,-0.12572978,-3.356397,-1.6243186,0,train
2.2236102,-7.5372796,-5.2982297,-0.43910444,0.74790215,1.4811866,1.0526253,1.1266085,1,train
-1.4667835,8.787196,4.1113076,-7.516551,-7.8787026,-1.6571009,3.5674484,-0.3099592,3,train
-0.44208214,-2.1893685,-3.2754138,-5.467282,2.060733,5.9111767,-2.4479394,0.6568192,0,train
-3.0908086,-3.5812266,0.48552594,0.30495393,1.4289305,-1.6369295,-0.5992644,-5.268408,3,train
-4.140274,-3.7665086,4.337886,6.3674803,-0.20786786,-0.71290714,-1.683338,-6.259561,0,train
-2.1260326,0.7386091,-5.3689365,-4.1154847,1.7275305,1.6403917,0.9580261,-2.9334314,1,train
-2.0517812,-1.892037,-8.880104,0.5734066,0.803194,3.4068227,-3.8967288,5.0745735,0,train
